"id";"NB";"COUT";"ANNEE"
43050;1;245,9;2018
43541;1;918,86;2016
43555;1;22,05;2017
43738;1;695,16;2017
44083;1;157,24;2018
44372;1;191,11;2016
44500;1;858,44;2017
44560;1;2103,84;2018
44588;1;927,42;2018
45179;1;766,29;2016
45275;1;1458,63;2017
45308;1;9015,38;2016
45323;1;273,39;2016
45621;1;1762,64;2017
45648;1;906,68;2017
46003;1;19868,26;2017
46059;1;1766,64;2017
46111;1;2078,34;2018
47357;1;306,12;2018
47564;1;555,85;2016
47731;1;613,27;2016
47923;1;1254,59;2017
48113;1;1715,02;2017
48282;1;490,8;2017
48445;1;312,24;2018
48455;1;1514,14;2016
48500;1;472,12;2018
49188;1;1642,84;2016
49554;1;419,32;2016
49585;1;292,08;2018
49628;1;431,14;2018
49867;1;1076,4;2016
49877;1;20,18;2016
50343;1;261,45;2018
50413;1;1655,32;2018
50521;1;1337,8;2018
50613;1;1671,39;2018
50697;1;111,28;2018
50940;1;9654,99;2016
51063;1;1102,16;2016
51341;1;2682,59;2018
51444;2;13186,13;2018
51547;1;172,45;2018
51745;1;57,21;2018
51908;1;355,05;2018
51981;1;8749,79;2017
52246;1;24,52;2017
52657;1;593,41;2016
53273;1;161,01;2016
53642;1;312,15;2016
53701;1;4835,66;2018
53856;1;981,81;2018
53889;1;178,08;2017
54349;1;428,74;2016
54471;1;86,23;2018
54546;1;2413,08;2018
54724;1;276,01;2017
54729;1;1113,78;2017
54828;1;331,31;2016
54912;1;522,84;2018
55060;1;24,52;2017
55168;1;519,93;2018
55192;1;1888,24;2018
55240;1;623,31;2017
55407;2;677,34;2018
55710;1;6390,15;2018
55755;1;110,77;2017
56300;1;304,33;2018
57021;1;1158,11;2017
57047;1;146,28;2016
57108;1;123,44;2018
57337;2;4013,16;2016
57413;1;1621,59;2017
57512;1;565,46;2016
57701;1;35,76;2017
58081;1;228,76;2017
58128;1;76,64;2017
58359;1;1626,29;2018
58368;1;81,75;2017
58580;1;11576,69;2017
58651;1;4807,68;2016
58753;1;79,5;2017
58890;1;260,76;2018
59475;1;9411,45;2017
59614;1;221,79;2016
59730;1;1238,74;2016
60179;1;1727,89;2017
60483;1;585,11;2016
61054;1;653,71;2016
61185;1;749,87;2018
61271;1;1341,58;2016
61454;1;491,03;2017
61605;1;633,45;2016
61742;1;1664,53;2016
61796;1;1054,52;2017
61884;1;552,6;2017
61943;1;3165,6;2016
62137;1;1923,7;2018
62154;1;216,89;2016
62673;1;1161,17;2018
62971;1;1007,6;2018
62989;1;444,82;2017
63039;1;574,94;2018
63050;1;693,2;2017
63062;1;1396,03;2018
63440;1;633,45;2016
63458;1;31,45;2018
63754;1;345,92;2018
64222;1;998,32;2016
64270;1;1195,75;2017
64273;1;896,52;2018
64318;1;623,27;2016
64405;1;233,79;2016
64453;1;819,52;2017
64535;1;945,21;2018
64632;1;339,97;2016
64924;1;741,88;2018
65006;1;24,21;2016
65258;1;233,38;2017
65313;1;1890,24;2018
65332;1;600,24;2016
65455;1;891,45;2018
65502;1;244,09;2016
65525;1;313,34;2016
65559;1;1130,13;2018
65790;1;92,99;2017
66081;1;13152,23;2017
66127;1;75,66;2016
66157;1;1005,59;2018
67194;1;179,49;2016
67280;1;357,96;2017
67472;1;1022,84;2017
67505;1;3217,28;2016
67793;1;2144,06;2017
67989;1;290,81;2017
68132;1;100,88;2016
68601;1;539,85;2017
68822;1;634,54;2016
69388;1;286,5;2016
69403;1;971;2016
69495;1;176,54;2016
69818;1;143,05;2017
69900;1;401,8;2016
70096;1;234;2017
70282;1;587,55;2017
70497;1;332,09;2017
70864;1;579,22;2016
70941;1;234,61;2017
71071;1;2599,5;2018
71381;1;484,67;2017
71385;1;1209,14;2017
71637;1;339,53;2017
72695;1;272,68;2018
72817;1;76,08;2018
73014;1;1971,41;2017
73093;1;1813,32;2016
73637;1;3433,38;2017
73647;1;1258,45;2017
74084;2;2468,48;2016
74450;1;3354,29;2016
74455;1;1184,89;2018
74578;1;337,53;2017
74996;1;291,55;2016
75031;1;51,09;2017
75586;1;1532,73;2017
75745;1;15116,45;2018
75870;1;25,36;2018
76266;1;433,38;2016
76322;1;1012,62;2017
76325;1;355,99;2018
76339;1;4032,41;2016
76605;1;763,67;2018
76709;1;398,51;2017
76961;1;222,76;2017
77094;1;1691,73;2016
77149;1;444,12;2018
77172;1;604,88;2016
77299;1;1132,62;2018
77659;1;24,21;2016
77680;1;502,78;2018
77976;1;82,94;2018
77977;1;959,1;2018
77982;1;491,78;2017
78483;1;55,48;2016
79211;1;286,44;2017
79333;1;8622,88;2017
79392;2;1535,35;2017
79537;1;300,68;2018
79730;1;1557,25;2017
79767;1;502,31;2016
79826;1;640,27;2018
79958;1;345,7;2017
79991;1;24,52;2017
